77,184
651,202
600,189
523,210
637,28
264,215
664,85
146,91
669,430
427,192
421,329
284,318
709,13
193,136
468,315
119,127
501,93
14,270
519,379
182,321
166,301
385,37
417,9
648,265
281,91
204,268
434,270
468,96
81,194
235,123
607,187
359,292
167,406
172,140
477,77
662,28
564,354
65,7
354,156
383,223
698,218
286,401
270,96
289,286
358,429
510,426
499,312
70,193
496,240
48,177
323,303
239,330
675,110
78,26
328,228
374,32
251,438
369,102
707,393
157,234
151,284
633,411
136,75
313,112
476,154
206,233
322,254
350,219
457,69
441,424
408,361
4,220
130,358
561,307
120,21
308,38
470,259
300,424
725,321
291,427
656,391
200,352
421,316
685,131
387,179
519,81
676,427
448,49
616,203
507,246
109,179
290,199
114,302
526,152
118,71
552,272
582,23
271,348
583,101
149,191
250,86
195,344
452,46
462,177
120,227
49,371
224,27
637,220
77,407
378,345
332,407
607,386
269,5
52,146
486,80
288,17
708,143
575,397
179,402
667,419
3,395
639,61
644,8
92,176
45,244
524,25
728,273
288,265
134,47
121,357
566,227
446,253
498,419
15,118
593,149
662,241
426,271
452,230
451,171
677,310
685,79
637,326
358,178
539,33
633,433
222,361
535,397
369,101
719,1
310,12
80,281
443,81
208,382
348,280
433,54
480,218
180,372
646,437
479,200
234,16
180,328
165,150
85,378
725,278
255,344
221,274
47,349
615,95
677,31
232,31
677,204
103,239
117,168
89,346
121,148
473,311
167,215
408,94
673,164
712,290
309,420
27,61
137,59
235,316
699,43
160,394
611,238
578,49
317,245
589,383
56,353
270,106
729,409
724,358
210,23
209,132
223,156
248,160
511,297
623,340
487,242
341,141
322,122
41,151
187,180
274,126
716,405
411,14
636,83
298,14
726,112
266,214
154,335
382,81
667,389
486,304
372,154
520,385
628,312
151,10
7,140
180,152
69,119
14,163
539,161
126,189
594,307
545,231
418,378
304,374
135,292
578,18
51,101
215,420
504,227
33,277
332,353
83,129
664,153
179,83
283,63
291,149
667,22
3,342
459,376
598,255
124,211
651,27
558,126
65,225
498,370
468,128
452,72
293,253
555,246
341,13
190,191
152,70
40,84
14,336
712,291
85,194
626,410
443,366
417,212
389,85
403,436
41,223
418,408
466,340
120,55
331,123
407,278
510,177
187,323
250,371
399,136
482,76
64,304
717,273
342,332
47,232
143,29
465,232
77,208
383,358
470,364
200,417
110,172
231,345
468,97
523,114
183,126
568,119
461,221
427,45
102,256
350,21
377,101
599,232
233,118
282,17
401,193
172,209
438,423
699,249
618,420
656,181
407,295
552,312
557,250
377,399
636,434
370,246
661,93
156,294
172,378
27,24
188,26
43,282
409,104
14,204
455,324
401,85
667,278
640,144
153,73
364,407
567,29
605,300
617,105
168,262
29,364
624,222
51,154
719,308
238,355
530,354
247,348
